pop_generation 70 1
values 63 23.7176819 127.753021 
values 64 -94.3236389 500 
values 65 164.92215 -500 
values 66 109.347809 -168.054718 
values 67 450.911743 371.524567 
values 68 371.992157 -222.57309 
values 69 -81.354538 317.2742 
values 70 -232.908905 -242.679001 
pop_generation 70 12
values 1 412.165436 424.690613 
values 2 408.18634 -314.410675 
values 3 62.1679382 -296.835297 
values 4 461.443481 -243.65509 
values 5 415.29718 -500 
values 6 -500 428.847168 
values 7 412.255524 -499.4729 
values 8 191.153137 405.469849 
values 9 82.9983826 333.540649 
values 10 412.255524 -494.729004 
values 11 412.255524 -494.729004 
values 12 366.620911 425.398621 
values 13 -490.753021 414.71756 
values 14 450.911743 -500 
values 15 441.613495 -494.729004 
values 16 192.248688 452.703461 
values 17 450.911743 371.524567 
values 18 -490.753021 395.82666 
values 19 3.19715095 416.812622 
values 20 -10.1634436 416.50885 
values 21 500 -326.494781 
values 22 -362.854584 430.450104 
values 23 218.153976 225.543121 
values 24 -500 180.247192 
values 25 -121.881439 -500 
values 26 -132.288086 -500 
values 27 -500 30.4964581 
values 28 450.911743 352.538025 
values 29 135.289673 -328.620026 
values 30 -336.573608 357.953735 
values 31 164.92215 -500 
values 32 450.911743 343.562286 
values 33 -36.8760071 85.3665771 
values 34 500 331.559387 
values 35 412.255524 281.227509 
values 36 -500 29.1462326 
values 37 -41.985199 -337.582977 
values 38 -8.53741455 370.555756 
values 39 117.698105 434.21817 
values 40 -139.482269 -19.1790161 
values 41 -312.649719 500 
values 42 -312.649719 -212.672607 
values 43 382.32373 -372.24054 
values 44 385.693237 -193.927979 
values 45 29.4486389 -111.925598 
values 46 78.5916138 -152.033264 
values 47 83.6881104 82.1157227 
values 48 216.350037 -226.545837 
values 49 -234.676117 -494.729004 
values 50 -187.655212 199.484863 
values 51 111.459663 -130.670624 
values 52 -372.739075 -500 
values 53 450.911743 -296.835297 
values 54 192.568924 400.411102 
values 55 500 -500 
values 56 371.992157 -222.57309 
values 57 39.1317749 -165.178802 
values 58 500 500 
values 59 -128.987885 -500 
values 60 98.7030029 -75.7188873 
values 61 409.691742 -353.700623 
values 62 -196.894775 -242.679001 
values 63 413.791779 -460.710052 
values 64 -94.3236389 500 
values 65 -117.090897 -242.861969 
values 66 500 22.8408813 
values 67 311.973907 481.185608 
values 68 -490.753021 414.71756 
values 69 -81.354538 317.2742 
values 70 389.024933 35.4153061 
pop_generation 70 13
values 1 412.165436 424.690613 
values 2 408.18634 -314.410675 
values 3 450.911743 -296.835297 
values 4 -426.909302 -500 
values 5 -500 428.847168 
values 6 412.255524 -499.4729 
values 7 191.153137 405.469849 
values 8 192.568924 400.411102 
values 9 412.255524 -494.729004 
values 10 412.255524 -494.729004 
values 11 366.620911 425.398621 
values 12 -490.753021 414.71756 
values 13 -490.753021 414.71756 
values 14 450.911743 -500 
values 15 441.613495 -500 
values 16 271.904724 305.006287 
values 17 450.911743 371.524567 
values 18 -490.753021 395.82666 
values 19 3.19715095 416.812622 
values 20 409.691742 -353.700623 
values 21 -10.1634436 416.50885 
values 22 62.1679382 -296.835297 
values 23 -362.854584 430.450104 
values 24 218.153976 225.543121 
values 25 -352.195892 180.247192 
